,ticker,short_name,long_name,currency,summary,category,family,exchange,market,total_assets
66,ARMR,Exchange Listed Funds Trust Arm,Armor US Equity Index ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the Armor US Equity Index.
 The fund will normally invest at least 80% of its total assets in securities of the index. The index generally is comprised of one or more exchange-traded funds (âETFsâ), each of which is designed to track the performance of common stocks included in the following sectors of the U.S. equity market: communication services, consumer discretionary, consumer staples, energy, financials, health care, industrials, information technology, materials, real estate, and utilities.",Large Blend,Exchange Traded Concepts,PCX,us_market,6117832.0
0,BNO,"United States Brent Oil Fund, L","United States Brent Oil Fund, LP",USD,"The investment seeks the daily changes in percentage terms of its sharesâ per share net asset value (âNAVâ) to reflect the daily changes in percentage terms of the spot price of Brent crude oil.
 The Benchmark Futures Contract is the futures contract on Brent crude oil as traded on the Ice Futures Europe Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will be measured by the futures contract that is the next month contract to expire.",,USCF Investments,PCX,us_market,318395584.0
37,BOIL,ProShares Ultra Bloomberg Natur,ProShares Ultra Bloomberg Natural Gas,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of the Bloomberg Natural Gas SubindexSM.
 The fund seeks to meet their investment objectives by investing normally in Natural Gas futures contracts. It may also invest in swaps if the market for a specific futures contract experiences emergencies (e.g., natural disaster, terrorist attack, or an act of God) or disruptions (e.g., a trading halt or a flash crash) or in situations where the Sponsor deems it impractical or inadvisable to buy or sell futures contracts (such as during periods of market volatility or illiquidity).",Trading--Leveraged Commodities,ProShares,PCX,us_market,92011136.0
67,CHII,Global X MSCI China Industrials,Global X MSCI China Industrials ETF,USD,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the MSCI China Industrials 10/50 Index.
 The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index tracks the performance of companies in the MSCI China Index (the ""parent index"") that are classified in the industrials sector, as defined by the index provider. The fund is non-diversified.",China Region,Global X Funds,PCX,us_market,2409662.0
48,CHIU,Global X Funds Global X MSCI Ch,Global X MSCI China Utilities ETF,USD,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the MSCI China Utilities 10/50 Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index tracks the performance of companies in the MSCI China Index (the ""parent index"") that are classified in the utilities sector, as defined by the index provider. The fund is non-diversified.",,Global X Funds,PCX,us_market,1706715.0
1,CRAK,VanEck Vectors Oil Refiners ETF,VanEck Vectors Oil Refiners ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® Global Oil Refiners Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index includes equity securities and depositary receipts of companies that generate at least 50% of their revenues from crude oil refining. Products of these companies may include gasoline, diesel, jet fuel, fuel oil, naphtha, and other petrochemicals. The fund is non-diversified.",Equity Energy,VanEck,PCX,us_market,20354872.0
2,DBC,Invesco DB Commodity Index Trac,Invesco DB Commodity Index Tracking Fund,USD,"The investment seeks to track changes, whether positive or negative, in the level of the DBIQ Optimum Yield Diversified Commodity Index Excess Returnâ¢.
 The fund pursues its investment objective by investing in a portfolio of exchange-traded futures on Light Sweet Crude Oil (WTI), Heating Oil, RBOB Gasoline, Natural Gas, Brent Crude, Gold, Silver, Aluminum, Zinc, Copper Grade A, Corn, Wheat, Soybeans, and Sugar. The index is composed of notional amounts of each of these commodities.",Commodities Broad Basket,Invesco,PCX,us_market,1891861760.0
3,DBE,Invesco DB Energy Fund,Invesco DB Energy Fund,USD,"The investment seeks to track the DBIQ Optimum Yield Energy Index Excess Return, which is intended to reflect the changes in market value of the energy sector.
 The index Commodities consist of Light, Sweet Crude Oil (WTI), Heating Oil, Brent Crude Oil, RBOB Gasoline and Natural Gas. The fund invests in futures contracts in an attempt to track its index.",,Invesco,PCX,us_market,82912024.0
4,DBO,Invesco DB Oil Fund,Invesco DB Oil Fund,USD,"The investment seeks to track the DBIQ Optimum Yield Crude Oil Index Excess Return (DBIQ-OY CL ER), which is intended to reflect the changes in market value of crude oil.
 The single index Commodity consists of Light, Sweet Crude Oil (WTI). The fund invests in futures contracts in an attempt to track its corresponding index.",,Invesco,PCX,us_market,519541856.0
5,DDG,ProShares Short Oil & Gas,ProShares Short Oil & Gas,USD,"The investment seeks daily investment results that correspond to the inverse (-1x) of the daily performance of the Dow Jones U.S. Oil & GasSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index measures the performance of certain companies in the oil and gas sector of the U.S. equity market. Component companies include, among others, exploration and production, integrated oil and gas, oil equipment and services, pipelines, renewable energy equipment companies and alternative fuel producers. The fund is non-diversified.",Trading--Inverse Equity,ProShares,PCX,us_market,3326665.0
