"Symbol","Description","Fund Type","Fund Category","Morningstar Category","Inception Date","Total Assets","Average Volume (10 Day)","Gross Expense Ratio"
"AMLP","Alerian MLP ETF","ETF","Sector Equity","Energy Limited Partnership","08/25/2010","$6B","1,311,913","0.87%"
"MLPA","Global X MLP ETF","ETF","Sector Equity","Energy Limited Partnership","04/18/2012","$1B","107,637","0.45%"
"EINC","VanEck Energy Income ETF","ETF","Sector Equity","Energy Limited Partnership","03/12/2012","$30M","3,253","0.46%"
"EMLP","First Trust North American Energy Infrastructure Fund","ETF","Sector Equity","Energy Limited Partnership","06/20/2012","$3B","304,351","0.95%"
"MLPX","Global X MLP & Energy Infrastructure ETF","ETF","Sector Equity","Energy Limited Partnership","08/06/2013","$1B","144,298","0.45%"
"ENFR","Alerian Energy Infrastructure ETF","ETF","Sector Equity","Energy Limited Partnership","10/31/2013","$134M","42,406","0.35%"
"AMZA","InfraCap MLP ETF","ETF","Sector Equity","Energy Limited Partnership","10/01/2014","$299M","52,025","1.40%"
"TPYP","Tortoise North American Pipeline Fund","ETF","Sector Equity","Energy Limited Partnership","06/29/2015","$575M","71,035","0.40%"
"USAI","Pacer American Energy Independence ETF","ETF","Sector Equity","Energy Limited Partnership","12/12/2017","$47M","8,530","0.75%"
"UMI","USCF Midstream Energy Income Fund","ETF","Sector Equity","Energy Limited Partnership","03/24/2021","$181M","21,056","0.85%"
"PSCE","Invesco S&P SmallCap Energy ETF","ETF","Sector Equity","Equity Energy","04/07/2010","$131M","187,163","0.29%"
"OIH","VanEck Oil Services ETF","ETF","Sector Equity","Equity Energy","12/20/2011","$3B","859,566","0.35%"
"FILL","iShares MSCI Global Energy Producers ETF","ETF","Sector Equity","Equity Energy","01/31/2012","$126M","23,566","0.39%"
"FENY","Fidelity® MSCI Energy Index ETF","ETF","Sector Equity","Equity Energy","10/21/2013","$2B","592,280","0.084%"
"CRAK","VanEck Oil Refiners ETF","ETF","Sector Equity","Equity Energy","08/18/2015","$39M","32,168","1.02%"
"FTXN","First Trust Nasdaq Oil & Gas ETF","ETF","Sector Equity","Equity Energy","09/20/2016","$1B","214,109","0.60%"
"CNRG","SPDR® Kensho Clean Power ETF","ETF","Sector Equity","Equity Energy","10/19/2018","$327M","13,360","0.45%"
"SOLR","SmartETFs Sustainable Energy II ETF","ETF","Sector Equity","Equity Energy","11/11/2020","$5M","461","2.84%"
"HDRO","Defiance Next Gen H2 ETF","ETF","Sector Equity","Equity Energy","03/09/2021","$38M","23,813","0.30%"
"GCLN","Goldman Sachs Bloomberg Clean Energy Equity ETF","ETF","Sector Equity","Equity Energy","02/08/2022","$7M","283","0.45%"
"DRLL","Strive U.S. Energy ETF","ETF","Sector Equity","Equity Energy","08/08/2022","$389M","62,588","0.41%"
"EIPX","FT Energy Income Partners Strategy ETF","ETF","Sector Equity","Equity Energy","11/01/2022","$88M","33,909","0.95%"
"RNWZ","TrueShares Eagle Global Renewable Energy Income ETF","ETF","Sector Equity","Equity Energy","12/07/2022","$2M","194","0.75%"
"XLE","Energy Select Sector SPDR® Fund","ETF","Sector Equity","Equity Energy","12/16/1998","$41B","15,803,580","0.10%"
"IYE","iShares U.S. Energy ETF","ETF","Sector Equity","Equity Energy","06/12/2000","$2B","423,177","0.39%"
"IXC","iShares Global Energy ETF","ETF","Sector Equity","Equity Energy","11/12/2001","$2B","641,871","0.40%"
"VDE","Vanguard Energy Index Fund ETF Shares","ETF","Sector Equity","Equity Energy","09/23/2004","$11B","396,580","0.10%"
"PXE","Invesco Dynamic Energy Exploration & Production ETF","ETF","Sector Equity","Equity Energy","10/26/2005","$308M","99,995","0.63%"
"PXJ","Invesco Dynamic Oil & Gas Services ETF","ETF","Sector Equity","Equity Energy","10/26/2005","$73M","359,200","0.74%"
"IEO","iShares U.S. Oil & Gas Exploration & Production ETF","ETF","Sector Equity","Equity Energy","05/01/2006","$1B","113,246","0.39%"
"IEZ","iShares U.S. Oil Equipment & Services ETF","ETF","Sector Equity","Equity Energy","05/01/2006","$347M","250,156","0.39%"
"XES","SPDR® S&P Oil & Gas Equipment & Services ETF","ETF","Sector Equity","Equity Energy","06/19/2006","$312M","89,131","0.35%"
