,HYBL
symbol,HYBL
price,27.95
beta,0
volAvg,19511
mktCap,0
lastDiv,1.23
range,26.69-30.11
changes,0.035
companyName,SPDR Blackstone High Income ETF
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, the Sub-Adviser will invest the fund's assets primarily in U.S. dollar denominated high yield debt securities. High yield debt securities include high yield corporate bonds, senior loans and debt tranches of U.S. collateralized loan obligations (“CLOs”). The fund will invest in CLOs to gain indirect exposure to senior loans. It may invest in debt securities of any maturity. The fund may invest up to 100% of its net assets in either high yield corporate bonds or senior loans. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYBL.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
