,BSCQ
symbol,BSCQ
price,19.1855
beta,0
volAvg,624004
mktCap,188398675
lastDiv,0.502
range,18.37-20.78
changes,0.0655
companyName,Invesco BulletShares 2026 Corporate Bond ETF
currency,USD
cik,
isin,US46138J7919
cusip,46138J791
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2026 (collectively, ""2026 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSCQ.png
ipoDate,2016-09-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
