,KBA
symbol,KBA
price,28.63
beta,0
volAvg,184650
mktCap,0
lastDiv,5.71
range,24.81-40.86
changes,-0.17
companyName,KraneShares Bosera MSCI China A 50 Connect Index ETF
currency,USD
cik,
isin,US5007674055
cusip,500767405
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its net assets in securities of the underlying index and other instruments that have economic characteristics similar to such securities, including depositary receipts. The underlying index reflects the large- and mid-cap Chinese renminbi (“RMB”)-denominated equity securities listed on the Shenzhen or Shanghai Stock Exchanges (“A-Shares”) that are accessible through the Shanghai-Hong Kong Stock Connect or Shenzhen-Hong Kong Stock Connect programs."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KBA.png
ipoDate,2014-03-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
