,IBTD
symbol,IBTD
price,24.78
beta,0
volAvg,1219947
mktCap,0
lastDiv,0.3320000000000001
range,24.65-25.37
changes,0.01
companyName,iShares iBonds Dec 2023 Term Treasury ETF
currency,USD
cik,
isin,US46436E8820
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index consists of publicly-issued U.S. Treasury securities that are scheduled to mature between January 1, 2023 and December 15, 2023, inclusive. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBTD.png
ipoDate,2020-02-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
