,DANC.TO
symbol,DANC.TO
price,21.59
beta,0
volAvg,22511
mktCap,0
lastDiv,0.04
range,21.11-21.63
changes,0.02
companyName,Desjardins Alt Long/Short Equity Market Neutral ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,866-666-1280
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DANC.TO.png
ipoDate,2019-01-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
