,MBB
symbol,MBB
price,95.88
beta,0
volAvg,2386796
mktCap,0
lastDiv,1.9009999999999998
range,88.0-105.92
changes,0.32
companyName,iShares MBS ETF
currency,USD
cik,
isin,US4642885887
cusip,464288588
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"he Fund will invest at least 80% of its assets in the component securities of the underlying index and TBAs that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MBB.png
ipoDate,2007-03-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
