,CRAK
symbol,CRAK
price,32.83
beta,0
volAvg,17977
mktCap,0
lastDiv,0.96
range,26.0-36.01
changes,-0.09
companyName,VanEck Oil Refiners ETF
currency,USD
cik,
isin,US92189F5851
cusip,92189F585
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes equity securities and depositary receipts of companies in the global oil refining segment. To be initially eligible for the Oil Refiners Index, companies must generate at least 50% of their revenues from crude oil refining. Products of these companies may include gasoline, diesel, jet fuel, fuel oil, naphtha, and other petrochemicals. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CRAK.png
ipoDate,2015-08-18
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
