,SCHJ
symbol,SCHJ
price,47.7
beta,0
volAvg,66668
mktCap,0
lastDiv,0.6930000000000002
range,45.7-49.94
changes,0.15
companyName,Schwab 1-5 Year Corporate Bond ETF
currency,USD
cik,
isin,US8085247141
cusip,808524714
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"To pursue its goal, the fund generally invests in securities that are included in the index. The index measures the performance of U.S. investment grade, taxable corporate bonds with maturities greater than or equal to one year and less than five years that have $300 million or more of outstanding face value. It is the fund's policy that under normal circumstances it will invest at least 90% of its net assets in securities included in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCHJ.png
ipoDate,2019-10-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
