,PALC
symbol,PALC
price,35.62
beta,0
volAvg,38096
mktCap,0
lastDiv,0.595
range,31.67-40.49
changes,0.4263
companyName,Pacer Lunt Large Cap Multi-Factor Alternator ETF
currency,USD
cik,
isin,US69374H8161
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index uses an objective, rules-based methodology to provide exposure to large-capitalization U.S. companies. Under normal circumstances, the fund will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in securities of large cap companies. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PALC.png
ipoDate,2020-06-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
