,BSMQ
symbol,BSMQ
price,23.915
beta,0
volAvg,40847
mktCap,85421008
lastDiv,0.40500000000000014
range,22.74-25.23
changes,0.025
companyName,Invesco BulletShares (R) 2026 Municipal Bond ETF
currency,USD
cik,
isin,US46138J5103
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2026 (collectively, “2026 Bonds”). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSMQ.png
ipoDate,2019-09-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
