,AMJ
symbol,AMJ
price,23.15
beta,0
volAvg,417209
mktCap,3063583169
lastDiv,1.3780000000000001
range,17.73-23.5
changes,0.17
companyName,JPMorgan Alerian MLP Index ETN
currency,USD
cik,0000019617
isin,US46625H3654
cusip,46625H365
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index tracks the performance of midstream energy Master Limited Partnerships.
ceo,
sector,
country,US
fullTimeEmployees,
phone,866-535-9248
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AMJ.png
ipoDate,2009-04-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
