,CDC
symbol,CDC
price,65.06
beta,0
volAvg,145193
mktCap,361243893
lastDiv,2.1390000000000002
range,59.18-74.46
changes,0.86
companyName,VictoryShares US EQ Income Enhanced Volatility Wtd ETF
currency,USD
cik,
isin,US92647N8240
cusip,92647N824
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory US Large Cap 100 High Dividend Long/Cash Volatility Weighted Index. The index identifies the 100 highest dividend yielding stocks in the Nasdaq Victory US Large Cap 500 Volatility Weighted Index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CDC.png
ipoDate,2014-07-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
