,KBWY
symbol,KBWY
price,22.12
beta,0
volAvg,91127
mktCap,0
lastDiv,1.4720000000000002
range,18.09-25.9
changes,0.57
companyName,Invesco KBW Premium Yield Equity REIT ETF
currency,USD
cik,
isin,US46138E5942
cusip,46138E594
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is a modified-dividend yield-weighted index of domestic equity real estate investment trusts (""REITs"") of small- and mid-capitalization, as determined by the index provider. The underlying index is designed to track the performance of small- and mid-capitalization domestic equity REITs that have competitive dividend yields and are publicly-traded in the U.S."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KBWY.png
ipoDate,2010-12-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
