,EIDO
symbol,EIDO
price,23.54
beta,0
volAvg,645866
mktCap,655164056
lastDiv,0.5670000000000001
range,21.22-25.62
changes,0.31
companyName,iShares MSCI Indonesia ETF
currency,USD
cik,
isin,US46429B3096
cusip,46429B309
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of the large-, mid- and small-capitalization segments of the Indonesian equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EIDO.png
ipoDate,2010-05-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
