,FBCG
symbol,FBCG
price,23.89
beta,0
volAvg,147975
mktCap,0
lastDiv,0.002
range,20.37-31.556
changes,0.5
companyName,Fidelity Blue Chip Growth ETF
currency,USD
cik,
isin,US3160923526
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Normally the fund invests at least 80% of assets in blue chip companies (companies that, in Fidelity Management & Research Company LLC's (FMR) view, are well-known, well-established and well-capitalized), which generally have large or medium market capitalizations. It invests in companies that manager believes have above-average growth potential (stocks of these companies are often called ""growth"" stocks). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FBCG.png
ipoDate,2020-06-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
