,JPST
symbol,JPST
price,50.36
beta,0
volAvg,5505798
mktCap,7473423950
lastDiv,0.7740000000000002
range,49.99-50.445
changes,0.02
companyName,JPMorgan Ultra-Short Income ETF
currency,USD
cik,
isin,US46641Q8371
cusip,46641Q837
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, the fund seeks to achieve its investment objective by investing at least 80% of its assets in investment grade, U.S. dollar denominated short-term fixed, variable and floating rate debt. ""Assets"" means net assets, plus the amount of borrowings for investment purposes. As part of its principal investment strategy, it may invest in corporate securities, asset-backed securities, mortgage-backed and mortgage-related securities, and high quality money market instruments such as commercial paper and certificates of deposit."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JPST.png
ipoDate,2017-05-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
