,ETCG
symbol,ETCG
price,5.5
beta,0
volAvg,107695
mktCap,0
lastDiv,0
range,2.86-19.84
changes,0.02
companyName,Grayscale Ethereum Classic Trust (ETC)
currency,USD
cik,0001705181
isin,
cusip,
exchange,Other OTC
exchangeShortName,PNK
industry,
website,
description,"The shares are the first publicly quoted securities solely invested in and deriving value from the price of ETC. The fund enables investors to gain exposure to the price movement of ETC through a traditional investment vehicle, without the challenges of buying, storing, and safekeeping ETC."
ceo,
sector,
country,US
fullTimeEmployees,
phone,212-668-5921
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ETCG.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
