,TAGG
symbol,TAGG
price,43.58
beta,0
volAvg,1875
mktCap,0
lastDiv,1.0019999999999998
range,40.49-48.84
changes,0.25
companyName,T. Rowe Price QM U.S. Bond ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal conditions, the fund will invest at least 80% of its net assets in U.S. bonds. The fund’s overall investment strategy is to provide total returns that exceed the total returns of its benchmark index, the Bloomberg Barclays U.S. Aggregate Bond Index. The index is a broadly diversified index that typically consists of investment-grade, fixed income instruments with intermediate- to long-term maturities. The adviser generally invests in a wide range of bonds represented in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TAGG.png
ipoDate,
defaultImage,False
isEtf,False
isActivelyTrading,True
isAdr,False
isFund,False
