,KCCA
symbol,KCCA
price,22.61
beta,0
volAvg,42727
mktCap,0
lastDiv,0.056
range,20.3-27.8
changes,-0.05
companyName,KraneShares California Carbon Allowance ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index is designed to measure the performance of a portfolio of futures contracts on carbon credits issued under the California Carbon Allowance “cap and trade” regime. The index includes only carbon credit futures that mature in December of the next one to two years. The fund will generally seek to obtain exposure to the same carbon credit futures that are in the index. The fund will invest at least 80% of its net assets in instruments that provide exposure to California Carbon Allowances. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KCCA.png
ipoDate,2021-10-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
