,GAZ
symbol,GAZ
price,14.94
beta,0
volAvg,60109
mktCap,0
lastDiv,0
range,14.34-52.65
changes,0.41
companyName,iPath Series B Bloomberg Natural Gas Subindex Total ReturnSM ETN
currency,USD
cik,0000312070
isin,
cusip,06745T368
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,US
fullTimeEmployees,
phone,212-528-7990
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GAZ.png
ipoDate,2017-04-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
