,MCHI
symbol,MCHI
price,53.58
beta,0
volAvg,6316932
mktCap,0
lastDiv,1.024
range,35.02-64.48
changes,-0.38
companyName,iShares MSCI China ETF
currency,USD
cik,
isin,US46429B6719
cusip,46429B671
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure the performance of equity securities in the top 85% in market capitalization of the Chinese equity securities markets, as represented by the H-shares and B-shares markets. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MCHI.png
ipoDate,2011-03-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
