,FLRT
symbol,FLRT
price,45.97
beta,0
volAvg,10383
mktCap,29445210
lastDiv,2.7569999999999997
range,43.911-48.95
changes,0.105
companyName,Pacer Pacific Asset Floating Rate High Income ETF
currency,USD
cik,
isin,US69434K4031
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by selecting a focused portfolio comprised primarily of income-producing adjustable rate securities. Under normal circumstances, it will invest at least 80% of its net assets in senior secured floating rate loans and other adjustable rate securities. The fund is expected to invest primarily in loans and Adjustable Rate Securities that are rated below investment grade (i.e., high yield securities, sometimes called “junk bonds” or non-investment grade securities) or, if unrated, of comparable quality as determined by the Sub-Adviser."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FLRT.png
ipoDate,2015-02-19
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
