,TOTL
symbol,TOTL
price,41.32
beta,0
volAvg,599147
mktCap,0
lastDiv,1.593
range,38.82-46.63
changes,0.18
companyName,SPDR DoubleLine Total Return Tactical ETF
currency,USD
cik,
isin,US78467V8485
cusip,78467V848
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the Sub-Adviser will invest at least 80% of the fund's net assets in a portfolio of fixed income securities of any credit quality. The fund may invest up to 25% of its net assets in corporate high yield securities (commonly known as ""junk bonds""). It may invest up to 15% of its net assets in securities denominated in foreign currencies, and may invest beyond this limit in U.S. dollar-denominated securities of foreign issuers. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TOTL.png
ipoDate,2015-02-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
