,ICF
symbol,ICF
price,60.13
beta,0
volAvg,220645
mktCap,1199593500
lastDiv,1.4460000000000002
range,49.24-75.01
changes,1.23
companyName,iShares Cohen & Steers REIT ETF
currency,USD
cik,
isin,US4642875649
cusip,464287564
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The objective of the underlying index is to represent relatively large and liquid REITs that may benefit from future consolidation and securitization of the U.S. real estate industry. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ICF.png
ipoDate,2001-01-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
