,IEZ
symbol,IEZ
price,22.96
beta,0
volAvg,578809
mktCap,168103041
lastDiv,0.13799999999999998
range,13.47-23.4
changes,0.47
companyName,iShares U.S. Oil Equipment & Services ETF
currency,USD
cik,
isin,US4642888444
cusip,464288844
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index measures the performance of the oil equipment and services sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IEZ.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
