,FCAL
symbol,FCAL
price,49.69
beta,0
volAvg,17822
mktCap,23064905
lastDiv,1.176
range,46.15-53.45
changes,0.09
companyName,First Trust California Municipal High Income ETF
currency,USD
cik,
isin,US33739P8639
cusip,33739P863
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund seeks to achieve its investment objectives by investing at least 80% of its net assets (including investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes and California income taxes. It will invest no more than 50% of its net assets in Municipal Securities that are, at the time of investment, not investment grade, commonly referred to as ""high yield"" or ""junk"" bonds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCAL.png
ipoDate,2017-06-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
