,IBHE
symbol,IBHE
price,23.04
beta,0
volAvg,73088
mktCap,0
lastDiv,1.169
range,21.969-24.63
changes,0.16
companyName,iShares iBonds 2025 Term High Yield and Income ETF
currency,USD
cik,
isin,US46435U1685
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The underlying index is composed of U.S. dollar-denominated, taxable, fixed-rate, high yield and BBB or equivalently rated corporate bonds scheduled to mature between January 1, 2025 and December 15, 2025, inclusive."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBHE.png
ipoDate,2019-05-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
