,BKHY
symbol,BKHY
price,47.89
beta,0
volAvg,17763
mktCap,1190539988
lastDiv,2.7560000000000002
range,44.16-53.82
changes,0.4066
companyName,BNY Mellon High Yield Beta ETF
currency,USD
cik,0001493580
isin,US09661T8009
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund uses a rules-based, systematic investment strategy that seeks to track an index designed to measure the performance of the high yield bond market. To pursue its goal, the fund normally invests substantially all, but at least 80%, of its assets in bonds comprising the Bloomberg US Corporate High Yield Total Return Index. The Bloomberg US Corporate High Yield Total Return Index is designed to measure the U.S. dollar-denominated, high yield (junk), fixed-rate, taxable corporate bond market. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BKHY.png
ipoDate,2020-04-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
