,FILL
symbol,FILL
price,24.86
beta,0
volAvg,26147
mktCap,59664000
lastDiv,1.169
range,19.11-26.88
changes,0.19
companyName,iShares MSCI Global Energy Producers ETF
currency,USD
cik,
isin,US4642863439
cusip,464286343
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the combined performance of equity securities of companies in both developed and emerging markets that are primarily engaged in the business of energy exploration and production. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FILL.png
ipoDate,2012-01-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
