,BBCA
symbol,BBCA
price,62.61
beta,0
volAvg,176927
mktCap,0
lastDiv,1.519
range,51.35-71.6
changes,1.05
companyName,JPMorgan BetaBuilders Canada ETF
currency,USD
cik,
isin,US46641Q6961
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization weighted index which consists of stocks traded primarily on the Toronto Stock Exchange. The fund may invest up to 20% of its assets in exchange-traded futures and forward foreign currency contracts to seek performance that corresponds to the underlying index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BBCA.png
ipoDate,2018-08-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
