,BBJP
symbol,BBJP
price,48.33
beta,0
volAvg,597255
mktCap,0
lastDiv,0.68
range,39.87-54.01
changes,0.15
companyName,JPMorgan BetaBuilders Japan ETF
currency,USD
cik,
isin,US46641Q7126
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization weighted index which consists of stocks traded primarily on the Tokyo Stock Exchange or the Nagoya Stock Exchange. The fund may invest up to 20% of its assets in exchange-traded futures and forward foreign currency contracts to seek performance that corresponds to the underlying index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BBJP.png
ipoDate,2018-06-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
