,SHY
symbol,SHY
price,81.8
beta,0
volAvg,5644380
mktCap,17120740164
lastDiv,0.8740000000000001
range,80.56-84.97
changes,0.15
companyName,iShares 1-3 Year Treasury Bond ETF
currency,USD
cik,
isin,US4642874576
cusip,464287457
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to one year and less than three years.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SHY.png
ipoDate,2002-07-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
