,IGIB
symbol,IGIB
price,51.68
beta,0
volAvg,1989788
mktCap,0
lastDiv,1.3670000000000002
range,46.81-57.9
changes,0.41
companyName,iShares 5-10 Year Investment Grade Corporate Bond ETF
currency,USD
cik,
isin,US4642886380
cusip,464288638
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the index. The fund will invest no more than 10% of its assets in futures, options and swaps contracts that BFA believes will help the fund track the index as well as in fixed income securities other than the types included in the index, but which BFA believes will help the fund track the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IGIB.png
ipoDate,2007-01-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
