,EWY
symbol,EWY
price,65.05
beta,0
volAvg,3567096
mktCap,4917779870
lastDiv,0.697
range,47.19-74.66
changes,1.58
companyName,iShares MSCI South Korea ETF
currency,USD
cik,
isin,US4642867729
cusip,464286772
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large- and mid-capitalization segments of the Korean equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWY.png
ipoDate,2000-05-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
