,FTRI
symbol,FTRI
price,14.72
beta,0
volAvg,225926
mktCap,0
lastDiv,1.1480000000000001
range,11.78-17.26
changes,0.22
companyName,First Trust Indxx Global Natural Resources Income ETF
currency,USD
cik,
isin,US33734X8386
cusip,33734X838
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is a free float adjusted market capitalization weighted index designed to measure the market performance of the 50 highest dividend yielding companies involved in the upstream segment of the natural resources sector. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTRI.png
ipoDate,2010-03-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
