,FTGC
symbol,FTGC
price,24.25
beta,0
volAvg,1159806
mktCap,0
lastDiv,2.535
range,23.37-31.47
changes,-0.4
companyName,First Trust Global Tactical Commodity Strategy Fund
currency,USD
cik,
isin,US33739H1014
cusip,33739H101
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve attractive risk adjusted returns by investing in commodity futures contracts, exchange-traded commodity linked instruments, and commodity linked total return swaps (collectively, ""Commodities Instruments"") through a wholly-owned subsidiary of the fund organized under the laws of the Cayman Islands (the ""Subsidiary""). The advisor expects to gain exposure to these investments exclusively by investing in the Subsidiary."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTGC.png
ipoDate,2013-10-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
