,IHF
symbol,IHF
price,267.38
beta,0
volAvg,50536
mktCap,776168044
lastDiv,2.687
range,237.26-297.3
changes,6.07
companyName,iShares U.S. Healthcare Providers ETF
currency,USD
cik,
isin,US4642888287
cusip,464288828
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the healthcare providers sector of the U.S. equity market, as defined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IHF.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
