,SLVO
symbol,SLVO
price,87.31
beta,0
volAvg,13914
mktCap,0
lastDiv,8.216999999999999
range,71.8-108.2
changes,0.56
companyName,Credit Suisse X-Links Silver Shares Covered Call ETN
currency,USD
cik,0001053092
isin,US22542D4491
cusip,22542D449
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The index measures the return of a “covered call” strategy on the shares of the iShares® Silver Trust (the “SLV Shares”) by reflecting changes in the price of the SLV Shares and the notional option premiums received from the notional sale of monthly call options on the SLV Shares less notional transaction costs incurred in connection with the covered call strategy.
ceo,
sector,
country,US
fullTimeEmployees,
phone,800-320-1225
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SLVO.png
ipoDate,2013-04-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
