,EWL
symbol,EWL
price,45.39
beta,0
volAvg,794873
mktCap,1299288705
lastDiv,0.857
range,36.02-50.25
changes,0.14
companyName,iShares MSCI Switzerland ETF
currency,USD
cik,
isin,US4642867497
cusip,464286749
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large- and mid- capitalization segments of the Swiss equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWL.png
ipoDate,1996-03-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
