,IGLB
symbol,IGLB
price,53.49
beta,0
volAvg,486659
mktCap,0
lastDiv,2.085
range,45.11-66.53
changes,0.46
companyName,iShares 10+ Year Investment Grade Corporate Bond ETF
currency,USD
cik,
isin,US4642895118
cusip,464289511
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of investment-grade corporate bonds of both U.S. and non-U.S. issuers that are U.S. dollar-denominated and publicly issued in the U.S. domestic market and have a remaining maturity of greater than or equal to ten years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IGLB.png
ipoDate,2009-12-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
