,PINK
symbol,PINK
price,26.05
beta,0
volAvg,49036
mktCap,0
lastDiv,0.112
range,22.79-28.46
changes,0.4
companyName,Simplify Health Care ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its assets (plus any borrowings for investment purposes) in securities of U.S. health care companies. The fund adviser defines health care companies as companies included in the Global Industry Classification Standard health care sector. The fund will typically invest in 50 – 100 health care companies. The adviser generally seeks investments in companies that are developing new and effective medicines, as well as companies whose business models reduce costs or improve quality in health care systems."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PINK.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
