,BSJR
symbol,BSJR
price,22.05
beta,0
volAvg,40427
mktCap,0
lastDiv,1.1769999999999998
range,20.41-24.86
changes,0.21
companyName,Invesco BulletShares 2027 High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46138J5855
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated high yield corporate bonds (commonly known as ""junk bonds"") with maturities or, in some cases, ""effective maturities"" in the year 2027 (collectively, ""2027 Bonds""). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSJR.png
ipoDate,2019-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
