,SCHR
symbol,SCHR
price,50.37
beta,0
volAvg,1546778
mktCap,3959081950
lastDiv,0.8770000000000001
range,48.09-55.45
changes,0.17
companyName,Schwab Intermediate-Term U.S. Treasury ETF
currency,USD
cik,
isin,US8085248545
cusip,808524854
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in securities included in the index. The index includes all publicly-issued U.S. Treasury securities that have a remaining maturity of greater than or equal to three years and less than ten years, are rated investment grade, and have $300 million or more of outstanding face value. The securities in the index must be denominated in U.S. dollars and must be fixed-rate and non-convertible."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCHR.png
ipoDate,2010-08-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
