,FTXG
symbol,FTXG
price,26.66
beta,0
volAvg,140624
mktCap,0
lastDiv,0.40700000000000003
range,24.51-29.66
changes,0.3
companyName,First Trust Nasdaq Food & Beverage ETF
currency,USD
cik,
isin,US33738R8521
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depository receipts that comprise the underlying index. The index is designed to provide exposure to U.S. companies comprising the food and beverage sector that have been selected based upon their liquidity and weighted based upon their cumulative score on three investing factors: volatility, value and growth. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTXG.png
ipoDate,2016-09-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
