,XLV
symbol,XLV
price,133.36
beta,0
volAvg,7470029
mktCap,26327267201
lastDiv,1.992
range,118.75-143.42
changes,1.7
companyName,Health Care Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y2090
cusip,81369Y209
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLV.png
ipoDate,1998-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
