,DTW
symbol,DTW
price,24.8
beta,0.107539
volAvg,27878
mktCap,4448971076
lastDiv,1.305
range,20.32-25.88
changes,0.24
companyName,DTE Energy Company JR SUB DB 2017 E
currency,USD
cik,0000936340
isin,US2333318598
cusip,233331859
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,0.642838
dcf,23.7472
image,https://financialmodelingprep.com/image-stock/DTW.png
ipoDate,2017-11-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
