,CLTL
symbol,CLTL
price,105.37
beta,0
volAvg,111759
mktCap,540810787
lastDiv,1.7710000000000001
range,104.81-105.62
changes,0.002
companyName,Invesco Treasury Collateral ETF
currency,USD
cik,
isin,US46138G8886
cusip,46138G888
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in the components of the index. The index is designed to measure the performance of U.S. Treasury Obligations with a maximum remaining maturity of less than 12 months. ""U.S. Treasury Obligations"" refer to securities issued or guaranteed by the U.S. Treasury where the payment of principal and interest is backed by the full faith and credit of the U.S. government. They include U.S. Treasury notes, bills and bonds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CLTL.png
ipoDate,2017-01-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
