,FTSM
symbol,FTSM
price,59.485
beta,0
volAvg,1588768
mktCap,0
lastDiv,0.9800000000000001
range,59.264-59.765
changes,0.005
companyName,First Trust Enhanced Short Maturity ETF
currency,USD
cik,
isin,US33739Q4082
cusip,33739Q408
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the Advisor intends to achieve its investment objective by investing at least 80% of its net assets in a portfolio of U.S. dollar-denominated fixed- and variable-rate debt securities. Normally the fund's portfolio is expected to have an average duration of less than one year and an average maturity of less than three years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTSM.png
ipoDate,2014-08-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
