,MLPX
symbol,MLPX
price,42.48
beta,0
volAvg,122940
mktCap,0
lastDiv,1.581
range,35.81-45.94
changes,0.69
companyName,Global X MLP & Energy Infrastructure ETF
currency,USD
cik,
isin,US37950E2265
cusip,37954Y293
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund invests at least 80% of its total assets in the securities of the index. It also invests at least 80% of its total assets in securities of master limited partnerships and energy infrastructure corporations. The fund's 80% investment policies are non-fundamental and require 60 days prior written notice to shareholders before they can be changed. The index tracks the performance of midstream energy infrastructure MLPs and corporations. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MLPX.png
ipoDate,2013-08-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
