,BSCT
symbol,BSCT
price,18.3426
beta,0
volAvg,89401
mktCap,0
lastDiv,0.4889999999999999
range,16.94-20.452
changes,0.0926
companyName,Invesco BulletShares 2029 Corporate Bond ETF
currency,USD
cik,
isin,US46138J5772
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2029 (collectively, ""2029 Bonds""). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSCT.png
ipoDate,2019-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
