,OIL
symbol,OIL
price,30.13
beta,0
volAvg,36842
mktCap,0
lastDiv,0
range,26.49-39.74
changes,0.6
companyName,iPath Pure Beta Crude Oil ETN
currency,USD
cik,0000312070
isin,US06740P2213
cusip,06740P221
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Barclays WTI Crude Oil Pure Beta Total Return Index (the ""index"") reflects the returns that are potentially available through an unleveraged investment in the futures contracts in the Crude Oil markets. The index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Pure Beta Series 2 Methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,877-764-7284
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/OIL.png
ipoDate,2011-04-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
