,IFGL
symbol,IFGL
price,22.51
beta,0
volAvg,52024
mktCap,493529499
lastDiv,0.5880000000000001
range,17.94-27.8
changes,-0.06
companyName,iShares International Developed Real Estate ETF
currency,USD
cik,
isin,US4642884898
cusip,464288489
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the stock performance of companies engaged in the ownership and development of real estate markets in developed countries (except for the United States) as defined by FTSE EPRA/NAREIT.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IFGL.png
ipoDate,2007-11-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
