,UCIB
symbol,UCIB
price,25.18
beta,0
volAvg,4329
mktCap,0
lastDiv,0
range,20.99-28.39
changes,0.115
companyName,UBS ETRACS UBS Bloomberg Constant Maturity Commodity Index (CMCI) Total Return ETN Series B
currency,USD
cik,0001114446
isin,US90274D3908
cusip,90274D390
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The ETN Series B is senior unsecured debt securities issued by UBS. The index is designed to be a diversified benchmark for commodities as an asset class. It is comprised of futures contracts on 27 components, representing 24 commodities, with up to five different maturities for each individual commodity. The overall return on the index is generated by two components: uncollateralized returns on the futures contracts comprising the index and a daily fixed-income return."
ceo,
sector,
country,US
fullTimeEmployees,
phone,877-387-2275
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UCIB.png
ipoDate,2015-10-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
