,FCOM
symbol,FCOM
price,35.75
beta,0
volAvg,121486
mktCap,142206779
lastDiv,0.323
range,29.71-50.07
changes,0.4998
companyName,Fidelity MSCI Communication Services Index ETF
currency,USD
cik,
isin,US3160928731
cusip,316092873
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Communication Services 25/50 Index, which represents the performance of the communication services sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Communication Services 25/50 Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCOM.png
ipoDate,2013-10-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
