,CFO
symbol,CFO
price,64.97
beta,0
volAvg,42019
mktCap,4576220943
lastDiv,2.1719999999999997
range,61.66-75.472
changes,0.15
companyName,VictoryShares US 500 Enhanced Volatility Wtd ETF
currency,USD
cik,
isin,US92647N7820
cusip,92647N782
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory US Large Cap 500 Long/Cash Volatility Weighted Index, an unmanaged, volatility weighted index maintained exclusively by the index provider. The index identifies the 500 largest U.S. stocks by market capitalization measured at the time the index's constituent securities are determined."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CFO.png
ipoDate,2014-07-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
