name,ticker,my_score,sentiment_score,rs_rating,returns_multiple,current_price,sma_50,sma_150,sma_200,sma_200_20,low_52_week,high_52_week
Invesco DWA Energy Momentum ETF,PXI,91.91,92.0,91.82,1.96,43.24,44.45,43.57,43.81,43.73,30.59,53.05
Invesco Dynamic Energy Exploration & Production ETF,PXE,87.74,78.0,97.48,2.34,28.97,30.3,29.99,30.05,29.87,19.97,36.69
Fidelity MSCI Energy Index ETF,FENY,85.98,77.0,94.97,2.02,23.49,24.0,22.54,22.41,22.12,16.16,25.98
iShares U.S. Energy ETF,IYE,85.72,79.0,92.45,1.97,45.59,46.88,44.3,43.9,43.35,31.69,50.75
iShares U.S. Oil & Gas Exploration & Production ETF,IEO,84.46,73.0,95.91,2.17,90.25,94.5,91.34,90.86,89.97,63.44,106.36
First Trust Nasdaq Oil & Gas ETF,FTXN,82.6,74.0,91.19,1.95,27.69,28.3,27.26,27.28,27.12,20.04,31.87
"United States 12 Month Natural Gas Fund, LP",UNL,80.29,87.0,73.58,1.38,12.7,18.03,21.36,22.01,22.49,12.21,29.37
First Trust Natural Gas ETF,FCG,78.46,61.0,95.91,2.17,24.01,25.05,25.03,25.22,25.24,17.12,31.07
Direxion Daily Energy Bull 2X Shares,ERX,78.37,58.0,98.74,3.71,63.61,67.1,60.17,60.38,59.26,34.2,80.27
InfraCap MLP ETF,AMZA,77.72,74.0,81.45,1.59,33.83,32.3,31.18,30.94,30.68,24.4,34.44
iShares U.S. Oil Equipment & Services ETF,IEZ,75.92,66.0,85.85,1.69,21.69,21.12,18.31,18.41,18.14,13.47,23.4
Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,GUSH,75.56,53.0,98.11,2.72,141.91,153.02,156.32,162.11,164.31,84.5,257.76
"United States Gasoline Fund, LP",UGA,73.78,57.0,90.57,1.93,58.87,56.99,58.3,60.96,60.62,43.67,80.29
Pacer American Energy Independence ETF,USAI,73.48,74.0,72.96,1.36,27.7,27.38,27.36,27.6,27.72,23.45,31.33
